version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;219865000;14.19092574;40.828878612;76374.7;35099.1;40;12;-3;1;1091.1;1608.4
0;0;('X001', {'invalidLlh': 'U001'});0;219866000;14.19092566;40.828878713;76378.8;35103.2;-40;13;-2;2;1084.6;1599.5
0;0;('X001', {'invalidLlh': 'U001'});0;219867000;14.190925592;40.828878846;76402.3;35126.7;-8;46;3;-3;1078.5;1591.1
0;0;('X001', {'invalidLlh': 'U001'});0;219868000;14.190925533;40.828878884;76468.7;35193.1;33;-16;-3;1;1072.6;1583.0
0;0;('X001', {'invalidLlh': 'U001'});0;219869000;14.190925527;40.828878942;76492.1;35216.5;27;42;1;-5;1066.9;1575.1
0;0;('X001', {'invalidLlh': 'U001'});0;219870000;14.190925595;40.82887901;76458.7;35183.1;-5;10;-3;1;1061.4;1567.4
0;0;('X001', {'invalidLlh': 'U001'});0;219871000;14.190925692;40.828879055;76434.6;35159.0;-8;-45;-4;0;1056.0;1559.8
0;0;('X001', {'invalidLlh': 'U001'});0;219872000;14.190925764;40.828879079;76408.4;35132.8;-36;-21;4;-2;1050.9;1552.5
0;0;('X001', {'invalidLlh': 'U001'});0;219873000;14.190925807;40.82887912;76384.0;35108.3;7;20;0;3;1045.9;1545.6
0;0;('X001', {'invalidLlh': 'U001'});0;219874000;14.190925819;40.828879142;76379.1;35103.5;19;42;1;5;1041.0;1538.9
0;0;('X001', {'invalidLlh': 'U001'});0;219875000;14.190925865;40.82887918;76366.1;35090.5;-35;-20;1;-5;1036.6;1532.8
0;0;('X001', {'invalidLlh': 'U001'});0;219876000;14.190922568;40.828881142;71929.9;30654.3;-32;42;-1;3;1417.5;1509.4
0;0;('X001', {'invalidLlh': 'U001'});0;219877000;14.19092293;40.828882093;76450.9;35175.3;30;-7;-1;3;716.2;806.0
0;0;('X001', {'invalidLlh': 'U001'});0;219878000;14.190922769;40.828881562;77921.0;36645.4;-31;-38;0;4;486.6;574.7
0;0;('X001', {'invalidLlh': 'U001'});0;219879000;14.190922847;40.828881219;78777.0;37501.3;47;19;0;3;379.5;461.3
0;0;('X001', {'invalidLlh': 'U001'});0;219880000;14.19092303;40.828880682;79508.1;38232.5;30;-18;1;5;295.5;374.5
0;0;('X001', {'invalidLlh': 'U001'});0;219881000;14.190923312;40.828880129;80083.8;38808.2;12;29;-2;2;247.3;321.7
0;0;('X001', {'invalidLlh': 'U001'});0;219882000;14.19092356;40.828879749;80547.5;39271.9;-40;49;5;-1;217.2;288.9
0;0;('X001', {'invalidLlh': 'U001'});0;219883000;14.190923751;40.828879405;80932.3;39656.6;-49;5;3;-4;196.9;266.6
0;0;('X001', {'invalidLlh': 'U001'});0;219884000;14.190923974;40.828879092;81269.9;39994.3;-26;-8;-1;3;182.3;250.3
